time,"V(B1|XDUT)","V(B2|XDUT)","P(B1|XDUT)","P(B2|XDUT)"
1.260000e-11,9.091123e-04,1.636105e-04,3.452620e+00,1.250582e+00
1.270000e-11,1.022047e-03,1.759420e-04,3.747171e+00,1.302308e+00
1.280000e-11,1.144030e-03,1.912787e-04,4.077099e+00,1.358297e+00
1.290000e-11,1.263349e-03,2.104693e-04,4.442991e+00,1.419594e+00
1.300000e-11,1.361700e-03,2.342876e-04,4.840793e+00,1.487486e+00
1.310000e-11,1.415468e-03,2.632611e-04,5.260123e+00,1.563445e+00
1.320000e-11,1.402365e-03,2.975920e-04,5.683976e+00,1.649048e+00
1.330000e-11,1.309543e-03,3.371294e-04,6.090533e+00,1.745874e+00
1.340000e-11,1.138258e-03,3.814189e-04,6.456628e+00,1.855413e+00
1.350000e-11,9.025100e-04,4.298401e-04,6.761480e+00,1.978998e+00
1.360000e-11,6.235928e-04,4.818017e-04,6.989418e+00,2.117792e+00
1.370000e-11,3.244690e-04,5.369397e-04,7.131124e+00,2.272823e+00
1.380000e-11,2.645206e-05,5.952620e-04,7.183718e+00,2.445082e+00
1.390000e-11,-2.516388e-04,6.571865e-04,7.150275e+00,2.635627e+00
1.400000e-11,-4.930439e-04,7.234302e-04,7.039252e+00,2.845687e+00
1.410000e-11,-6.817714e-04,7.947648e-04,6.864139e+00,3.076702e+00
1.420000e-11,-8.039839e-04,8.714420e-04,6.642906e+00,3.330234e+00
1.430000e-11,-8.504847e-04,9.523223e-04,6.396879e+00,3.607655e+00
1.440000e-11,-8.190340e-04,1.033755e-03,6.148960e+00,3.909536e+00
1.450000e-11,-7.151259e-04,1.108470e-03,5.921457e+00,4.234704e+00
1.460000e-11,-5.507663e-04,1.165120e-03,5.734055e+00,4.579111e+00
1.470000e-11,-3.420585e-04,1.189363e-03,5.602297e+00,4.934841e+00
1.490000e-11,1.364223e-04,1.088350e-03,5.542502e+00,5.628605e+00
1.500000e-11,3.696900e-04,9.519377e-04,5.619315e+00,5.934368e+00
1.510000e-11,5.750712e-04,7.653475e-04,5.761411e+00,6.191325e+00
1.520000e-11,7.359704e-04,5.433455e-04,5.957861e+00,6.387042e+00
1.530000e-11,8.388947e-04,3.045636e-04,6.193279e+00,6.513976e+00
1.540000e-11,8.758330e-04,6.842330e-05,6.449168e+00,6.570148e+00
1.550000e-11,8.459332e-04,-1.469594e-04,6.705824e+00,6.559103e+00
1.560000e-11,7.554232e-04,-3.260352e-04,6.944401e+00,6.489376e+00
1.570000e-11,6.157682e-04,-4.567416e-04,7.148663e+00,6.373612e+00
1.580000e-11,4.410593e-04,-5.313710e-04,7.306095e+00,6.227385e+00
1.590000e-11,2.457903e-04,-5.472524e-04,7.408362e+00,6.067786e+00
1.600000e-11,4.364268e-05,-5.068741e-04,7.451291e+00,5.911910e+00
1.610000e-11,-1.527603e-04,-4.172315e-04,7.434657e+00,5.775433e+00
1.620000e-11,-3.315629e-04,-2.885752e-04,7.361947e+00,5.671484e+00
1.630000e-11,-4.814024e-04,-1.330133e-04,7.240194e+00,5.609890e+00
1.640000e-11,-5.916323e-04,3.660945e-05,7.079763e+00,5.596775e+00
1.650000e-11,-6.532767e-04,2.074009e-04,6.893952e+00,5.634416e+00
1.660000e-11,-6.605294e-04,3.668199e-04,6.698213e+00,5.721269e+00
1.670000e-11,-6.121897e-04,5.031018e-04,6.508955e+00,5.852133e+00
1.680000e-11,-5.123465e-04,6.059926e-04,6.342084e+00,6.018510e+00
1.690000e-11,-3.700006e-04,6.678305e-04,6.211510e+00,6.209250e+00
1.700000e-11,-1.978683e-04,6.846589e-04,6.127903e+00,6.411521e+00
1.710000e-11,-1.088456e-05,6.568594e-04,6.097829e+00,6.612004e+00
1.720000e-11,1.752010e-04,5.889370e-04,6.123295e+00,6.798132e+00
1.730000e-11,3.450690e-04,4.885060e-04,6.201684e+00,6.959131e+00
1.740000e-11,4.850620e-04,3.648932e-04,6.326072e+00,7.086713e+00
1.750000e-11,5.844934e-04,2.278561e-04,6.485935e+00,7.175398e+00
1.760000e-11,6.368500e-04,8.672705e-05,6.668228e+00,7.222527e+00
1.770000e-11,6.404768e-04,-4.996740e-05,6.858734e+00,7.228115e+00
1.780000e-11,5.983978e-04,-1.745652e-04,7.043452e+00,7.194616e+00
1.790000e-11,5.172882e-04,-2.802330e-04,7.209812e+00,7.126683e+00
1.800000e-11,4.059999e-04,-3.610412e-04,7.347508e+00,7.030903e+00
1.810000e-11,2.741626e-04,-4.122587e-04,7.448944e+00,6.915466e+00
1.820000e-11,1.312283e-04,-4.308343e-04,7.509338e+00,6.789713e+00
1.830000e-11,-1.394890e-05,-4.159084e-04,7.526644e+00,6.663545e+00
1.840000e-11,-1.531249e-04,-3.691419e-04,7.501394e+00,6.546713e+00
1.850000e-11,-2.785057e-04,-2.947105e-04,7.436561e+00,6.448069e+00
1.860000e-11,-3.826651e-04,-1.989423e-04,7.337434e+00,6.374889e+00
1.870000e-11,-4.587411e-04,-8.969882e-05,7.211465e+00,6.332325e+00
1.880000e-11,-5.009965e-04,2.435854e-05,7.067989e+00,6.323071e+00
1.890000e-11,-5.056514e-04,1.345102e-04,6.917734e+00,6.347234e+00
1.900000e-11,-4.717249e-04,2.326798e-04,6.772093e+00,6.402422e+00
1.910000e-11,-4.015591e-04,3.120794e-04,6.642202e+00,6.484036e+00
1.920000e-11,-3.008119e-04,3.677617e-04,6.537970e+00,6.585738e+00
1.930000e-11,-1.779174e-04,3.970050e-04,6.467185e+00,6.700059e+00
1.940000e-11,-4.318669e-05,3.994418e-04,6.434842e+00,6.819081e+00
1.950000e-11,9.224196e-05,3.768835e-04,6.442746e+00,6.935100e+00
1.960000e-11,2.174627e-04,3.328783e-04,6.489432e+00,7.041203e+00
1.970000e-11,3.228071e-04,2.721189e-04,6.570385e+00,7.131694e+00
1.980000e-11,4.007388e-04,1.998404e-04,6.678547e+00,7.202339e+00
1.990000e-11,4.465299e-04,1.213252e-04,6.805053e+00,7.250464e+00
2.000000e-11,4.585795e-04,4.156820e-05,6.940116e+00,7.274926e+00
2.010000e-11,4.382785e-04,-3.490421e-05,7.073919e+00,7.276010e+00
2.020000e-11,3.894620e-04,-1.041119e-04,7.197413e+00,7.255281e+00
2.030000e-11,3.176202e-04,-1.626562e-04,7.302917e+00,7.215423e+00
2.040000e-11,2.290942e-04,-2.077667e-04,7.384493e+00,7.160049e+00
2.050000e-11,1.304382e-04,-2.373901e-04,7.438108e+00,7.093504e+00
2.060000e-11,2.802371e-05,-2.503155e-04,7.461656e+00,7.020616e+00
2.070000e-11,-7.213487e-05,-2.463058e-04,7.454893e+00,6.946426e+00
2.080000e-11,-1.644254e-04,-2.261865e-04,7.419331e+00,6.875877e+00
2.090000e-11,-2.436636e-04,-1.918480e-04,7.358119e+00,6.813499e+00
2.100000e-11,-3.051984e-04,-1.461354e-04,7.275891e+00,6.763103e+00
2.110000e-11,-3.451519e-04,-9.263112e-05,7.178564e+00,6.727541e+00
2.120000e-11,-3.607841e-04,-3.535538e-05,7.073039e+00,6.708525e+00
2.130000e-11,-3.509007e-04,2.157451e-05,6.966782e+00,6.706556e+00
2.140000e-11,-3.161787e-04,7.428511e-05,6.867315e+00,6.720948e+00
2.150000e-11,-2.592902e-04,1.194509e-04,6.781635e+00,6.749942e+00
2.160000e-11,-1.847608e-04,1.545320e-04,6.715648e+00,6.790910e+00
2.170000e-11,-9.857816e-05,1.779227e-04,6.673684e+00,6.840608e+00
2.180000e-11,-7.621711e-06,1.890005e-04,6.658152e+00,6.895460e+00
2.190000e-11,8.099470e-05,1.880748e-04,6.669381e+00,6.951842e+00
2.200000e-11,1.605849e-04,1.762522e-04,6.705654e+00,7.006339e+00
2.210000e-11,2.254893e-04,1.552449e-04,6.763422e+00,7.055952e+00
2.220000e-11,2.715480e-04,1.271561e-04,6.837685e+00,7.098248e+00
2.230000e-11,2.963925e-04,9.427310e-05,6.922480e+00,7.131443e+00
2.240000e-11,2.995170e-04,5.889128e-05,7.011417e+00,7.154438e+00
