time,"V(OUT1)","V(B1|XDCSFQ)","V(B2|XDCSFQ)","V(B3|XDCSFQ)","P(B1|XDCSFQ)","P(B2|XDCSFQ)","P(B3|XDCSFQ)"
1.130000e-11,3.008719e-05,1.385282e-04,1.573366e-04,3.131947e-05,-1.025697e-01,1.211141e+00,8.494639e-01
1.140000e-11,3.331668e-05,1.304481e-04,1.586498e-04,3.446178e-05,-6.201091e-02,1.258956e+00,8.594511e-01
1.150000e-11,3.642588e-05,1.194272e-04,1.580518e-04,3.738723e-05,-2.429906e-02,1.306911e+00,8.703537e-01
1.160000e-11,3.935969e-05,1.065227e-04,1.561451e-04,4.001655e-05,9.849755e-03,1.354526e+00,8.820940e-01
1.170000e-11,4.207011e-05,9.287703e-05,1.535862e-04,4.228464e-05,4.004670e-02,1.401510e+00,8.945730e-01
1.180000e-11,4.451917e-05,7.961831e-05,1.510364e-04,4.414657e-05,6.624055e-02,1.447766e+00,9.076754e-01
1.190000e-11,4.668181e-05,6.776804e-05,1.491206e-04,4.558225e-05,8.869953e-02,1.493392e+00,9.212764e-01
1.200000e-11,4.854823e-05,5.816425e-05,1.483955e-04,4.659940e-05,1.079681e-01,1.538661e+00,9.352496e-01
1.210000e-11,4.935255e-05,4.733140e-05,1.460495e-04,4.704299e-05,1.239789e-01,1.583336e+00,9.494368e-01
1.220000e-11,4.991852e-05,3.479204e-05,1.415061e-04,4.689679e-05,1.363636e-01,1.626892e+00,9.636657e-01
1.230000e-11,5.015524e-05,2.101790e-05,1.349573e-04,4.619848e-05,1.447494e-01,1.668749e+00,9.777671e-01
1.240000e-11,4.999952e-05,6.828733e-06,1.268593e-04,4.501148e-05,1.489279e-01,1.708399e+00,9.915855e-01
1.250000e-11,4.942738e-05,-6.862663e-06,1.177432e-04,4.341270e-05,1.489306e-01,1.745467e+00,1.004986e+00
1.260000e-11,4.844994e-05,-1.918405e-05,1.081342e-04,4.148579e-05,1.450454e-01,1.779728e+00,1.017856e+00
1.270000e-11,4.710489e-05,-2.938945e-05,9.851071e-05,3.931681e-05,1.377970e-01,1.811103e+00,1.030111e+00
1.280000e-11,4.544803e-05,-3.691814e-05,8.928164e-05,3.699093e-05,1.279024e-01,1.839647e+00,1.041689e+00
1.290000e-11,4.354603e-05,-4.143186e-05,8.077528e-05,3.458997e-05,1.162113e-01,1.865524e+00,1.052555e+00
1.300000e-11,4.147067e-05,-4.283120e-05,7.323512e-05,3.219037e-05,1.036381e-01,1.888985e+00,1.062698e+00
1.310000e-11,3.929452e-05,-4.125186e-05,6.682176e-05,2.986163e-05,9.109062e-02,1.910342e+00,1.072128e+00
1.320000e-11,3.708759e-05,-3.704229e-05,6.161918e-05,2.766514e-05,7.940452e-02,1.929943e+00,1.080875e+00
1.330000e-11,3.491491e-05,-3.072571e-05,5.764423e-05,2.565323e-05,6.928508e-02,1.948153e+00,1.088988e+00
1.340000e-11,3.283489e-05,-2.295044e-05,5.485849e-05,2.386864e-05,6.126289e-02,1.965336e+00,1.096527e+00
1.350000e-11,3.089806e-05,-1.443327e-05,5.318127e-05,2.234414e-05,5.566509e-02,1.981836e+00,1.103566e+00
1.360000e-11,2.914646e-05,-5.900780e-06,5.250312e-05,2.110252e-05,5.260384e-02,1.997972e+00,1.110187e+00
1.370000e-11,2.761325e-05,1.966508e-06,5.269895e-05,2.015678e-05,5.198178e-02,2.014026e+00,1.116477e+00
