case,role,window,kind,signal,unit,n,min,max,median,mean,p2p,signed_integral,dynamic_integral,baseline_median
C13.logical1_read,logical1_read,POST,branch_current,BJL2,A,2400,1.923209e-05,2.060866e-05,1.9876215e-05,1.9880675416666666e-05,1.3765699999999976e-06,5.961688751875e-16,5.470962499998379e-20,1.9878755e-05
C13.logical1_read,logical1_read,POST,branch_current,L0,A,2400,-1.302696e-06,1.371309e-06,5.494453e-09,1.4386265211399999e-08,2.6740049999999997e-06,4.378876663420129e-19,4.2303265051201286e-19,4.953736e-10
C13.logical1_read,logical1_read,POST,branch_current,L1,A,2400,-1.697448e-05,-1.313454e-05,-1.511412e-05,-1.5096801808333332e-05,3.83994e-06,-4.5270970225e-16,7.053460625000184e-19,-1.5120135e-05
C13.logical1_read,logical1_read,POST,branch_current,L2,A,2400,1.802552e-05,2.186546e-05,1.9885879999999997e-05,1.9903198191666667e-05,3.83994e-06,5.9685279775e-16,7.053460625000086e-19,1.9879865e-05
C13.logical1_read,logical1_read,POST,branch_current,RB,A,2400,3.5e-05,3.5e-05,3.5e-05,3.499999999999999e-05,0.0,1.0495624999999998e-15,0.0,3.5e-05
C13.logical1_read,logical1_read,POST,branch_current,RJ1,A,2400,-1.286782e-06,1.285173e-06,-3.236226e-09,9.328713203958319e-09,2.5719550000000003e-06,2.7388263155624056e-19,2.501755426274903e-19,7.905657e-10
C13.logical1_read,logical1_read,POST,branch_current,RJ2,A,2400,-6.315969e-07,6.591283e-07,2.6345235e-09,8.136432192000002e-09,1.2907252000000001e-06,2.4603254713500454e-19,2.3254445301687974e-19,4.4979055e-10
C13.logical1_read,logical1_read,POST,kcl_residual,input,A,2400,,,,,,,,
C13.logical1_read,logical1_read,POST,kcl_residual,node2,A,2400,,,,,,,,
C13.logical1_read,logical1_read,POST,kcl_residual,node3,A,2400,,,,,,,,
C13.logical1_read,logical1_read,POST,kcl_residual,node4,A,2400,,,,,,,,
C13.logical0_read,logical0_read,PRE,branch_current,source,A,1120,-3.437544e-08,3.127106e-08,-1.3572465e-09,-8.673298474642859e-10,6.56465e-08,-1.2012625639500099e-20,6.97185977924989e-21,-1.3572465e-09
C13.logical0_read,logical0_read,PRE,branch_current,lin,A,1120,-3.437544e-08,3.127106e-08,-1.3572465e-09,-8.673298474642859e-10,6.56465e-08,-1.2012625639500099e-20,6.97185977924989e-21,-1.3572465e-09
C13.logical0_read,logical0_read,PRE,branch_current,BJs,A,1120,-3.437544e-08,3.127106e-08,-1.3572465e-09,-8.673298474642859e-10,6.56465e-08,-1.2012625639500099e-20,6.97185977924989e-21,-1.3572465e-09
C13.logical0_read,logical0_read,PRE,branch_current,BJL1,A,1120,1.509395e-05,1.515219e-05,1.5122634999999999e-05,1.5122402187499997e-05,5.823999999999997e-08,2.1152468493749998e-16,-3.1721249999852093e-21,1.5122634999999999e-05
C13.logical0_read,logical0_read,PRE,branch_current,BJL2,A,1120,1.986257e-05,1.989265e-05,1.9877925000000003e-05,1.9878044794642854e-05,3.008000000000023e-08,2.780442156875e-16,1.739749999953396e-21,1.9877925000000003e-05
C13.logical0_read,logical0_read,PRE,branch_current,L0,A,1120,-2.434021e-08,2.189936e-08,-4.95336e-10,-4.174902682589286e-10,4.623957e-08,-5.931897743124853e-21,9.96614556875145e-22,-4.95336e-10
C13.logical0_read,logical0_read,PRE,branch_current,L1,A,1120,-1.515661e-05,-1.509009e-05,-1.512318e-05,-1.5122687196428571e-05,6.651999999999983e-08,-2.115286435625e-16,6.83668749999672e-21,-1.512318e-05
C13.logical0_read,logical0_read,PRE,branch_current,L2,A,1120,1.984339e-05,1.990991e-05,1.987682e-05,1.987731280357143e-05,6.652000000000152e-08,2.780338564375e-16,6.836687499992426e-21,1.987682e-05
C13.logical0_read,logical0_read,PRE,branch_current,RB,A,1120,3.5e-05,3.5e-05,3.5e-05,3.499999999999998e-05,0.0,4.895625e-16,0.0,3.5e-05
C13.logical0_read,logical0_read,PRE,branch_current,RJ1,A,1120,-2.482015e-08,2.236422e-08,-7.905522e-10,-5.822939010982144e-10,4.718437e-08,-8.053623315375088e-21,3.0042255821249143e-21,-7.905522e-10
C13.logical0_read,logical0_read,PRE,branch_current,RJ2,A,1120,-1.186617e-08,1.067922e-08,-4.4975355e-10,-3.1453536457589267e-10,2.254539e-08,-4.427846229062444e-21,1.8630815515625547e-21,-4.4975355e-10
C13.logical0_read,logical0_read,PRE,kcl_residual,input,A,1120,,,,,,,,
C13.logical0_read,logical0_read,PRE,kcl_residual,node2,A,1120,,,,,,,,
C13.logical0_read,logical0_read,PRE,kcl_residual,node3,A,1120,,,,,,,,
C13.logical0_read,logical0_read,PRE,kcl_residual,node4,A,1120,,,,,,,,
C13.logical0_read,logical0_read,ACTIVE,branch_current,source,A,2880,-2.148844e-05,1.910962e-05,-5.281931e-08,-6.49202817247935e-09,4.059806e-05,-2.3597785914675384e-19,-1.8713395072800354e-19,-1.3572465e-09
C13.logical0_read,logical0_read,ACTIVE,branch_current,lin,A,2880,-2.148844e-05,1.910962e-05,-5.281931e-08,-6.49202817247935e-09,4.059806e-05,-2.3597785914675384e-19,-1.8713395072800354e-19,-1.3572465e-09
C13.logical0_read,logical0_read,ACTIVE,branch_current,BJs,A,2880,-2.148844e-05,1.910962e-05,-5.281931e-08,-6.49202817247935e-09,4.059806e-05,-2.3597785914675384e-19,-1.8713395072800354e-19,-1.3572465e-09
C13.logical0_read,logical0_read,ACTIVE,branch_current,BJL1,A,2880,4.808252e-06,2.529025e-05,1.5223305e-05,1.5094949656944447e-05,2.0481998e-05,5.432264769000003e-16,-9.9935016249993e-19,1.5122634999999999e-05
C13.logical0_read,logical0_read,ACTIVE,branch_current,BJL2,A,2880,1.36819e-05,2.651308e-05,1.9896639999999998e-05,1.9906717753472222e-05,1.283118e-05,7.163920492500003e-16,1.0352233124998829e-18,1.9877925000000003e-05
C13.logical0_read,logical0_read,ACTIVE,branch_current,L0,A,2880,-4.446309e-06,4.270284e-06,6.115032499999999e-09,-2.6168899864088597e-09,8.716593e-06,-9.144902849199007e-20,-7.362312419199016e-20,-4.95336e-10
C13.logical0_read,logical0_read,ACTIVE,branch_current,L1,A,2880,-2.590055e-05,-5.040426e-06,-1.5118899999999999e-05,-1.509779394236111e-05,2.0860124e-05,-5.433291409875003e-16,9.16299262499965e-19,-1.512318e-05
C13.logical0_read,logical0_read,ACTIVE,branch_current,L2,A,2880,9.099454e-06,2.995957e-05,1.9881100000000002e-05,1.9902206018055555e-05,2.0860116e-05,7.162333575875002e-16,9.162978374999442e-19,1.987682e-05
C13.logical0_read,logical0_read,ACTIVE,branch_current,RB,A,2880,3.5e-05,3.5e-05,3.5e-05,3.499999999999999e-05,0.0,1.2595625000000004e-15,0.0,3.5e-05
C13.logical0_read,logical0_read,ACTIVE,branch_current,RJ1,A,2880,-3.78467e-06,3.679718e-06,-2.1445695e-08,-3.647732097232622e-09,7.464388e-06,-1.3331334901287347e-19,-1.0486335171537339e-19,-7.905522e-10
C13.logical0_read,logical0_read,ACTIVE,branch_current,RJ2,A,2880,-2.090903e-06,2.01515e-06,2.798031e-09,-1.894793980524295e-09,4.106053e-06,-6.724078942388597e-20,-5.1055283543261005e-20,-4.4975355e-10
C13.logical0_read,logical0_read,ACTIVE,kcl_residual,input,A,2880,,,,,,,,
C13.logical0_read,logical0_read,ACTIVE,kcl_residual,node2,A,2880,,,,,,,,
C13.logical0_read,logical0_read,ACTIVE,kcl_residual,node3,A,2880,,,,,,,,
C13.logical0_read,logical0_read,ACTIVE,kcl_residual,node4,A,2880,,,,,,,,
C13.logical0_read,logical0_read,TRANSITION,branch_current,source,A,800,-4.941637e-07,6.720214e-07,2.6348715e-08,2.4555162671074997e-08,1.1661851000000001e-06,2.442914017107502e-19,2.5784690112950026e-19,-1.3572465e-09
C13.logical0_read,logical0_read,TRANSITION,branch_current,lin,A,800,-4.941637e-07,6.720214e-07,2.6348715e-08,2.4555162671074997e-08,1.1661851000000001e-06,2.442914017107502e-19,2.5784690112950026e-19,-1.3572465e-09
C13.logical0_read,logical0_read,TRANSITION,branch_current,BJs,A,800,-4.941637e-07,6.720214e-07,2.6348715e-08,2.4555162671074997e-08,1.1661851000000001e-06,2.442914017107502e-19,2.5784690112950026e-19,-1.3572465e-09
C13.logical0_read,logical0_read,TRANSITION,branch_current,BJL1,A,800,1.456423e-05,1.561832e-05,1.5078935000000001e-05,1.5101312987499999e-05,1.05409e-06,1.508218825625002e-16,-2.1543449999998747e-19,1.5122634999999999e-05
C13.logical0_read,logical0_read,TRANSITION,branch_current,BJL2,A,800,1.962231e-05,2.014437e-05,1.988513e-05,1.9884685125e-05,5.220600000000002e-07,1.9859769062500028e-16,6.691468749996722e-20,1.9877925000000003e-05
C13.logical0_read,logical0_read,TRANSITION,branch_current,L0,A,800,-4.245762e-07,4.740115e-07,2.466925e-08,1.3766153486249997e-08,8.985877e-07,1.3968765548749889e-19,1.4463482378749897e-19,-4.95336e-10
C13.logical0_read,logical0_read,TRANSITION,branch_current,L1,A,800,-1.566759e-05,-1.44459e-05,-1.5069485000000001e-05,-1.509211955e-05,1.2216900000000015e-06,-1.5073004750000017e-16,3.1271274999999636e-19,-1.512318e-05
C13.logical0_read,logical0_read,TRANSITION,branch_current,L2,A,800,1.933241e-05,2.05541e-05,1.9930515000000003e-05,1.9907880449999997e-05,1.2216900000000015e-06,1.9883245250000027e-16,3.12712749999993e-19,1.987682e-05
C13.logical0_read,logical0_read,TRANSITION,branch_current,RB,A,800,3.5e-05,3.5e-05,3.5e-05,3.499999999999999e-05,0.0,3.4956250000000044e-16,0.0,3.5e-05
C13.logical0_read,logical0_read,TRANSITION,branch_current,RJ1,A,800,-4.073021e-07,4.740885e-07,1.784513e-08,1.5361679115187503e-08,8.813905999999999e-07,1.5245593365187533e-19,1.6035157374937533e-19,-7.905522e-10
C13.logical0_read,logical0_read,TRANSITION,branch_current,RJ2,A,800,-1.929172e-07,2.302751e-07,1.7888845000000002e-08,9.429134431874999e-09,4.231923e-07,9.507376463124952e-20,9.956567821187449e-20,-4.4975355e-10
C13.logical0_read,logical0_read,TRANSITION,kcl_residual,input,A,800,,,,,,,,
C13.logical0_read,logical0_read,TRANSITION,kcl_residual,node2,A,800,,,,,,,,
C13.logical0_read,logical0_read,TRANSITION,kcl_residual,node3,A,800,,,,,,,,
C13.logical0_read,logical0_read,TRANSITION,kcl_residual,node4,A,800,,,,,,,,
C13.logical0_read,logical0_read,POST,branch_current,source,A,2400,-2.232044e-07,2.367568e-07,-1.2447755e-09,-4.385108583791668e-10,4.599612e-07,-1.2025861076372734e-20,2.867456834237726e-20,-1.3572465e-09
C13.logical0_read,logical0_read,POST,branch_current,lin,A,2400,-2.232044e-07,2.367568e-07,-1.2447755e-09,-4.385108583791668e-10,4.599612e-07,-1.2025861076372734e-20,2.867456834237726e-20,-1.3572465e-09
C13.logical0_read,logical0_read,POST,branch_current,BJs,A,2400,-2.232044e-07,2.367568e-07,-1.2447755e-09,-4.385108583791668e-10,4.599612e-07,-1.2025861076372734e-20,2.867456834237726e-20,-1.3572465e-09
C13.logical0_read,logical0_read,POST,branch_current,BJL1,A,2400,1.490956e-05,1.53448e-05,1.512253e-05,1.5124188525000003e-05,4.352399999999999e-07,4.53536993625e-16,4.697656250003436e-20,1.5122634999999999e-05
C13.logical0_read,logical0_read,POST,branch_current,BJL2,A,2400,1.977486e-05,1.998187e-05,1.987876e-05,1.9878459095833332e-05,2.0701000000000058e-07,5.96105962125e-16,1.6686187499903045e-20,1.9877925000000003e-05
C13.logical0_read,logical0_read,POST,branch_current,L0,A,2400,-1.463741e-07,1.455781e-07,-1.2260069999999999e-09,-1.5598629110375003e-09,2.919522e-07,-4.743724566862679e-20,-3.258335736862681e-20,-4.95336e-10
C13.logical0_read,logical0_read,POST,branch_current,L1,A,2400,-1.533313e-05,-1.490248e-05,-1.512367e-05,-1.5123990737500002e-05,4.30649999999999e-07,-4.535308118125e-16,-2.4451562500007566e-20,-1.512318e-05
C13.logical0_read,logical0_read,POST,branch_current,L2,A,2400,1.966687e-05,2.009752e-05,1.987633e-05,1.98760092625e-05,4.30649999999999e-07,5.960316881875e-16,-2.4451562500017388e-20,1.987682e-05
C13.logical0_read,logical0_read,POST,branch_current,RB,A,2400,3.5e-05,3.5e-05,3.5e-05,3.499999999999999e-05,0.0,1.0495624999999998e-15,0.0,3.5e-05
C13.logical0_read,logical0_read,POST,branch_current,RJ1,A,2400,-1.486051e-07,1.429889e-07,4.4878384999999996e-10,-6.363814151083334e-10,2.91594e-07,-1.821015439699811e-20,5.496529700501907e-21,-7.905522e-10
C13.logical0_read,logical0_read,POST,branch_current,RJ2,A,2400,-7.065176e-08,7.04972e-08,-6.2351705e-10,-8.900160907550002e-10,1.4114896e-07,-2.68381137539005e-20,-1.3351129173275515e-20,-4.4975355e-10
C13.logical0_read,logical0_read,POST,kcl_residual,input,A,2400,,,,,,,,
C13.logical0_read,logical0_read,POST,kcl_residual,node2,A,2400,,,,,,,,
C13.logical0_read,logical0_read,POST,kcl_residual,node3,A,2400,,,,,,,,
C13.logical0_read,logical0_read,POST,kcl_residual,node4,A,2400,,,,,,,,
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,source,A,1120,-3.127106e-08,3.437544e-08,1.3572465e-09,8.673298474642859e-10,6.56465e-08,1.2012625639500099e-20,-6.97185977924989e-21,1.3572465e-09
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,lin,A,1120,-3.127106e-08,3.437544e-08,1.3572465e-09,8.673298474642859e-10,6.56465e-08,1.2012625639500099e-20,-6.97185977924989e-21,1.3572465e-09
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,BJs,A,1120,-3.127106e-08,3.437544e-08,1.3572465e-09,8.673298474642859e-10,6.56465e-08,1.2012625639500099e-20,-6.97185977924989e-21,1.3572465e-09
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,BJL1,A,1120,1.509113e-05,1.514937e-05,1.5120680000000001e-05,1.512091329464286e-05,5.823999999999997e-08,2.1150369037499998e-16,3.1788749999852046e-21,1.5120680000000001e-05
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,BJL2,A,1120,1.986403e-05,1.989411e-05,1.9878755e-05,1.9878640026785715e-05,3.008000000000023e-08,2.7805241325e-16,-1.672312500005725e-21,1.9878755e-05
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,L0,A,1120,-2.190011e-08,2.433928e-08,4.953736e-10,4.173337154017858e-10,4.623939e-08,5.9297160781248545e-21,-9.993221518751482e-22,4.953736e-10
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,L1,A,1120,-1.515323e-05,-1.508671e-05,-1.5120135e-05,-1.5120628330357141e-05,6.651999999999983e-08,-2.11499732375e-16,-6.84406249999677e-21,-1.5120135e-05
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,L2,A,1120,1.984677e-05,1.991329e-05,1.9879865e-05,1.9879371669642858e-05,6.652000000000152e-08,2.78062767625e-16,-6.844062500002157e-21,1.9879865e-05
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,RB,A,1120,3.5e-05,3.5e-05,3.5e-05,3.499999999999998e-05,0.0,4.895625e-16,0.0,3.5e-05
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,RJ1,A,1120,-2.236462e-08,2.481971e-08,7.905657e-10,5.822076554464288e-10,4.718433e-08,8.052407220000086e-21,-3.0056305087499063e-21,7.905657e-10
C13.logical1_no_read_control,logical1_no_read_control,PRE,branch_current,RJ2,A,1120,-1.067957e-08,1.186571e-08,4.4979055e-10,3.144701384482143e-10,2.254528e-08,4.426936719524946e-21,-1.8645085986000563e-21,4.4979055e-10
C13.logical1_no_read_control,logical1_no_read_control,PRE,kcl_residual,input,A,1120,,,,,,,,
C13.logical1_no_read_control,logical1_no_read_control,PRE,kcl_residual,node2,A,1120,,,,,,,,
C13.logical1_no_read_control,logical1_no_read_control,PRE,kcl_residual,node3,A,1120,,,,,,,,
C13.logical1_no_read_control,logical1_no_read_control,PRE,kcl_residual,node4,A,1120,,,,,,,,
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,source,A,2880,-9.724772e-09,8.644189e-09,-4.156241e-11,-9.244187321944445e-11,1.8368961e-08,-3.3011718671499714e-21,-5.214508028589999e-20,1.3572465e-09
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,lin,A,2880,-9.724772e-09,8.644189e-09,-4.156241e-11,-9.244187321944445e-11,1.8368961e-08,-3.3011718671499714e-21,-5.214508028589999e-20,1.3572465e-09
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,BJs,A,2880,-9.724772e-09,8.644189e-09,-4.156241e-11,-9.244187321944445e-11,1.8368961e-08,-3.3011718671499714e-21,-5.214508028589999e-20,1.3572465e-09
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,BJL1,A,2880,1.511379e-05,1.513033e-05,1.512169e-05,1.512171106597222e-05,1.6540000000000014e-08,5.441926240625002e-16,3.715256249996147e-20,1.5120680000000001e-05
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,BJL2,A,2880,1.987386e-05,1.988241e-05,1.987833e-05,1.9878308309027778e-05,8.549999999998419e-09,7.153706386250003e-16,-1.6056937500014302e-20,1.9878755e-05
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,L0,A,2880,-6.993767e-09,7.32883e-09,-2.2199835e-11,-2.465569536399306e-11,1.4322597e-08,-9.321618599787746e-22,-1.875941928997878e-20,4.953736e-10
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,L1,A,2880,-1.513164e-05,-1.511282e-05,-1.512171e-05,-1.5121740333333334e-05,1.882000000000027e-08,-5.441936744375002e-16,-5.781612499999265e-20,-1.5120135e-05
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,L2,A,2880,1.986836e-05,1.988718e-05,1.987829e-05,1.9878259666666667e-05,1.8819999999998576e-08,7.153688255625003e-16,-5.781612500000375e-20,1.9879865e-05
C13.logical1_no_read_control,logical1_no_read_control,ACTIVE,branch_current,RB,A,2880,3.5e-05,3.5e-05,3.5e-05,3.499999999999999e-05,0.0,1.2595625000000004e-15,0.0,3.5e-05
